2022-02-19 20:13:25,523 || INFO || Thread 2: Received Heartbeat from Client: 'MSG_HEARTBEAT'. Echoing MSG_HEARTBEAT back to client || __main__
2022-02-19 20:13:30,532 || INFO || Thread 2: Received Heartbeat from Client: 'MSG_HEARTBEAT'. Echoing MSG_HEARTBEAT back to client || __main__
2022-02-19 20:13:35,547 || INFO || Thread 2: Received Heartbeat from Client: 'MSG_HEARTBEAT'. Echoing MSG_HEARTBEAT back to client || __main__
2022-02-19 20:13:40,576 || INFO || Thread 2: Received Heartbeat from Client: 'MSG_HEARTBEAT'. Echoing MSG_HEARTBEAT back to client || __main__
2022-02-19 20:13:45,583 || INFO || Thread 2: Received Heartbeat from Client: 'MSG_HEARTBEAT'. Echoing MSG_HEARTBEAT back to client || __main__
2022-02-19 20:13:50,599 || INFO || Thread 2: Received Heartbeat from Client: 'MSG_HEARTBEAT'. Echoing MSG_HEARTBEAT back to client || __main__
2022-02-19 20:13:55,608 || INFO || Thread 2: Received Heartbeat from Client: 'MSG_HEARTBEAT'. Echoing MSG_HEARTBEAT back to client || __main__
2022-02-19 20:14:00,628 || INFO || Thread 2: Received Heartbeat from Client: 'MSG_HEARTBEAT'. Echoing MSG_HEARTBEAT back to client || __main__
2022-02-19 20:14:05,630 || INFO || Thread 2: Received Heartbeat from Client: 'MSG_HEARTBEAT'. Echoing MSG_HEARTBEAT back to client || __main__
2022-02-19 20:14:10,636 || INFO || Thread 2: Received Heartbeat from Client: 'MSG_HEARTBEAT'. Echoing MSG_HEARTBEAT back to client || __main__
2022-02-19 20:14:15,642 || INFO || Thread 2: Received Heartbeat from Client: 'MSG_HEARTBEAT'. Echoing MSG_HEARTBEAT back to client || __main__
2022-02-19 20:14:20,653 || INFO || Thread 2: Received Heartbeat from Client: 'MSG_HEARTBEAT'. Echoing MSG_HEARTBEAT back to client || __main__
2022-02-19 20:14:25,663 || INFO || Thread 2: Received Heartbeat from Client: 'MSG_HEARTBEAT'. Echoing MSG_HEARTBEAT back to client || __main__
2022-02-19 20:14:30,690 || INFO || Thread 2: Received Heartbeat from Client: 'MSG_HEARTBEAT'. Echoing MSG_HEARTBEAT back to client || __main__
2022-02-19 20:14:35,692 || INFO || Thread 2: Received Heartbeat from Client: 'MSG_HEARTBEAT'. Echoing MSG_HEARTBEAT back to client || __main__
2022-02-19 20:14:40,699 || INFO || Thread 2: Received Heartbeat from Client: 'MSG_HEARTBEAT'. Echoing MSG_HEARTBEAT back to client || __main__
2022-02-19 20:14:45,721 || INFO || Thread 2: Received Heartbeat from Client: 'MSG_HEARTBEAT'. Echoing MSG_HEARTBEAT back to client || __main__
2022-02-19 20:14:50,729 || INFO || Thread 2: Received Heartbeat from Client: 'MSG_HEARTBEAT'. Echoing MSG_HEARTBEAT back to client || __main__
2022-02-19 20:14:55,735 || INFO || Thread 2: Received Heartbeat from Client: 'MSG_HEARTBEAT'. Echoing MSG_HEARTBEAT back to client || __main__
2022-02-19 20:15:00,745 || INFO || Thread 2: Received Heartbeat from Client: 'MSG_HEARTBEAT'. Echoing MSG_HEARTBEAT back to client || __main__
2022-02-19 20:15:05,747 || INFO || Thread 2: Received Heartbeat from Client: 'MSG_HEARTBEAT'. Echoing MSG_HEARTBEAT back to client || __main__
2022-02-19 20:15:10,750 || INFO || Thread 2: Received Heartbeat from Client: 'MSG_HEARTBEAT'. Echoing MSG_HEARTBEAT back to client || __main__
2022-02-19 20:15:15,759 || INFO || Thread 2: Received Heartbeat from Client: 'MSG_HEARTBEAT'. Echoing MSG_HEARTBEAT back to client || __main__
2022-02-19 20:15:20,764 || INFO || Thread 2: Received Heartbeat from Client: 'MSG_HEARTBEAT'. Echoing MSG_HEARTBEAT back to client || __main__
2022-02-19 20:18:16,488 || INFO || Thread 1: TCP Server is Listening on 192.168.0.50:12345 || __main__
2022-02-19 20:18:23,274 || INFO || Thread 1: Accepted connection from 192.168.0.95:33976 || __main__
2022-02-19 20:18:23,275 || INFO || Thread 1: Received client data: 'CLIENT_DATA_MESSAGE'. Sent Server Data: 'b'SERVER_DATA_REPLY'' || __main__
2022-02-19 20:18:44,277 || ERROR || Thread 1: No client message detected in 20 seconds. Initiating Heartbeat Server || __main__
2022-02-19 20:18:44,277 || INFO || Thread 2: TCP Server is Listening for Heartbeat on 192.168.0.50:12345 || __main__
2022-02-19 20:18:48,309 || INFO || Thread 2: Accepted connection from 192.168.0.95:33978 || __main__
2022-02-19 20:18:48,309 || INFO || Thread 2: Received Heartbeat from Client: 'MSG_HEARTBEAT'. Echoing MSG_HEARTBEAT back to client || __main__
2022-02-19 20:18:53,322 || INFO || Thread 2: Received Heartbeat from Client: 'MSG_HEARTBEAT'. Echoing MSG_HEARTBEAT back to client || __main__
2022-02-19 20:18:58,330 || INFO || Thread 2: Received Heartbeat from Client: 'MSG_HEARTBEAT'. Echoing MSG_HEARTBEAT back to client || __main__
2022-02-19 20:19:03,339 || INFO || Thread 2: Received Heartbeat from Client: 'MSG_HEARTBEAT'. Echoing MSG_HEARTBEAT back to client || __main__
2022-02-19 20:19:08,341 || INFO || Thread 2: Received Heartbeat from Client: 'MSG_HEARTBEAT'. Echoing MSG_HEARTBEAT back to client || __main__
2022-02-19 20:19:13,345 || INFO || Thread 2: Received Heartbeat from Client: 'MSG_HEARTBEAT'. Echoing MSG_HEARTBEAT back to client || __main__
2022-02-19 20:19:18,353 || INFO || Thread 2: Received Heartbeat from Client: 'MSG_HEARTBEAT'. Echoing MSG_HEARTBEAT back to client || __main__
2022-02-19 20:19:23,372 || INFO || Thread 2: Received Heartbeat from Client: 'MSG_HEARTBEAT'. Echoing MSG_HEARTBEAT back to client || __main__
2022-02-19 20:19:28,378 || INFO || Thread 2: Received Heartbeat from Client: 'MSG_HEARTBEAT'. Echoing MSG_HEARTBEAT back to client || __main__
2022-02-19 20:19:33,404 || INFO || Thread 2: Received Heartbeat from Client: 'MSG_HEARTBEAT'. Echoing MSG_HEARTBEAT back to client || __main__
2022-02-19 20:19:38,410 || INFO || Thread 2: Received Heartbeat from Client: 'MSG_HEARTBEAT'. Echoing MSG_HEARTBEAT back to client || __main__
2022-02-19 20:19:43,417 || INFO || Thread 2: Received Heartbeat from Client: 'MSG_HEARTBEAT'. Echoing MSG_HEARTBEAT back to client || __main__
2022-02-19 20:19:48,424 || INFO || Thread 2: Received Heartbeat from Client: 'MSG_HEARTBEAT'. Echoing MSG_HEARTBEAT back to client || __main__
2022-02-19 20:19:53,431 || INFO || Thread 2: Received Heartbeat from Client: 'MSG_HEARTBEAT'. Echoing MSG_HEARTBEAT back to client || __main__
