2022-02-11 20:09:25,947 || INFO || Thread 1: Successful Tx/Rx. Client sent: 'b'CLIENT_DATA_MESSAGE'' Server replied: 'SERVER_DATA_REPLY' || __main__
2022-02-11 20:09:30,959 || INFO || Thread 1: Client sent data: b'CLIENT_DATA_MESSAGE' || __main__
2022-02-11 20:09:30,959 || INFO || Thread 1: Successful Tx/Rx. Client sent: 'b'CLIENT_DATA_MESSAGE'' Server replied: 'SERVER_DATA_REPLY' || __main__
2022-02-11 20:09:35,962 || INFO || Thread 1: Client sent data: b'CLIENT_DATA_MESSAGE' || __main__
2022-02-11 20:09:35,962 || INFO || Thread 1: Successful Tx/Rx. Client sent: 'b'CLIENT_DATA_MESSAGE'' Server replied: 'SERVER_DATA_REPLY' || __main__
2022-02-11 20:09:40,979 || INFO || Thread 1: Client sent data: b'CLIENT_DATA_MESSAGE' || __main__
2022-02-11 20:09:40,979 || INFO || Thread 1: Successful Tx/Rx. Client sent: 'b'CLIENT_DATA_MESSAGE'' Server replied: 'SERVER_DATA_REPLY' || __main__
2022-02-11 20:11:55,455 || INFO || Thread 1: Client successfully connected to Server at 127.0.0.1:12345 || __main__
2022-02-11 20:12:25,487 || INFO || Thread 1: Client sent data: b'CLIENT_DATA_MESSAGE' || __main__
2022-02-11 20:12:25,487 || INFO || Thread 1: Successful Tx/Rx. Client sent: 'b'CLIENT_DATA_MESSAGE'' Server replied: 'SERVER_DATA_REPLY' || __main__
2022-02-11 20:13:09,481 || INFO || Thread 1: Client successfully connected to Server at 127.0.0.1:12345 || __main__
2022-02-11 20:13:39,499 || INFO || Thread 1: Client sent data: b'CLIENT_DATA_MESSAGE' || __main__
2022-02-11 20:14:49,963 || INFO || Thread 1: Client successfully connected to Server at 127.0.0.1:12345 || __main__
2022-02-11 20:15:19,964 || INFO || Thread 1: Client sent data: b'CLIENT_DATA_MESSAGE' || __main__
2022-02-11 20:15:19,964 || INFO || Thread 1: Successful Tx/Rx. Client sent: 'b'CLIENT_DATA_MESSAGE'' Server replied: 'SERVER_DATA_REPLY' || __main__
2022-02-11 20:15:54,980 || INFO || Thread 1: Client sent data: b'CLIENT_DATA_MESSAGE' || __main__
2022-02-11 20:17:42,010 || INFO || Thread 1: Client successfully connected to Server at 127.0.0.1:12345 || __main__
2022-02-11 20:32:19,383 || INFO || Thread 1: Client successfully connected to Server at 127.0.0.1:12345 || __main__
2022-02-11 20:32:19,383 || INFO || Thread 1: Client sent data: b'CLIENT_DATA_MESSAGE' || __main__
2022-02-11 20:32:39,398 || ERROR || Thread 1: Did not receive a reply from server in 20 seconds. Initating Heartbeat || __main__
2022-02-11 20:32:44,399 || INFO || Thread 2: Client sent heatbeat: b'MSG_HEARTBEAT' || __main__
2022-02-11 20:32:54,415 || WARNING || Thread 2: No heartbeat received from server in 10 seconds.Will try 14 more attempts || __main__
2022-02-11 20:32:54,415 || INFO || Thread 2: Client sent heatbeat: b'MSG_HEARTBEAT' || __main__
2022-02-11 20:33:04,415 || WARNING || Thread 2: No heartbeat received from server in 10 seconds.Will try 13 more attempts || __main__
2022-02-11 20:33:04,415 || INFO || Thread 2: Client sent heatbeat: b'MSG_HEARTBEAT' || __main__
2022-02-11 20:33:14,415 || WARNING || Thread 2: No heartbeat received from server in 10 seconds.Will try 12 more attempts || __main__
2022-02-11 20:33:14,415 || INFO || Thread 2: Client sent heatbeat: b'MSG_HEARTBEAT' || __main__
2022-02-11 20:33:24,417 || WARNING || Thread 2: No heartbeat received from server in 10 seconds.Will try 11 more attempts || __main__
2022-02-11 20:33:24,417 || INFO || Thread 2: Client sent heatbeat: b'MSG_HEARTBEAT' || __main__
2022-02-11 20:33:34,446 || WARNING || Thread 2: No heartbeat received from server in 10 seconds.Will try 10 more attempts || __main__
2022-02-11 20:33:34,446 || INFO || Thread 2: Client sent heatbeat: b'MSG_HEARTBEAT' || __main__
2022-02-11 20:33:44,446 || WARNING || Thread 2: No heartbeat received from server in 10 seconds.Will try 9 more attempts || __main__
2022-02-11 20:33:44,446 || INFO || Thread 2: Client sent heatbeat: b'MSG_HEARTBEAT' || __main__
2022-02-11 20:33:54,448 || WARNING || Thread 2: No heartbeat received from server in 10 seconds.Will try 8 more attempts || __main__
2022-02-11 20:33:54,448 || INFO || Thread 2: Client sent heatbeat: b'MSG_HEARTBEAT' || __main__
2022-02-11 20:34:04,462 || WARNING || Thread 2: No heartbeat received from server in 10 seconds.Will try 7 more attempts || __main__
2022-02-11 20:34:04,462 || INFO || Thread 2: Client sent heatbeat: b'MSG_HEARTBEAT' || __main__
2022-02-11 20:34:14,463 || WARNING || Thread 2: No heartbeat received from server in 10 seconds.Will try 6 more attempts || __main__
2022-02-11 20:34:14,463 || INFO || Thread 2: Client sent heatbeat: b'MSG_HEARTBEAT' || __main__
2022-02-11 20:34:24,464 || WARNING || Thread 2: No heartbeat received from server in 10 seconds.Will try 5 more attempts || __main__
2022-02-11 20:34:24,464 || INFO || Thread 2: Client sent heatbeat: b'MSG_HEARTBEAT' || __main__
2022-02-11 20:34:34,479 || WARNING || Thread 2: No heartbeat received from server in 10 seconds.Will try 4 more attempts || __main__
2022-02-11 20:34:34,479 || INFO || Thread 2: Client sent heatbeat: b'MSG_HEARTBEAT' || __main__
2022-02-11 20:34:44,481 || WARNING || Thread 2: No heartbeat received from server in 10 seconds.Will try 3 more attempts || __main__
2022-02-11 20:34:44,481 || INFO || Thread 2: Client sent heatbeat: b'MSG_HEARTBEAT' || __main__
2022-02-11 20:34:54,483 || WARNING || Thread 2: No heartbeat received from server in 10 seconds.Will try 2 more attempts || __main__
2022-02-11 20:34:54,483 || INFO || Thread 2: Client sent heatbeat: b'MSG_HEARTBEAT' || __main__
2022-02-11 20:35:04,499 || WARNING || Thread 2: No heartbeat received from server in 10 seconds.Will try 1 more attempts || __main__
2022-02-11 20:35:04,499 || INFO || Thread 2: Client sent heatbeat: b'MSG_HEARTBEAT' || __main__
2022-02-11 20:35:14,500 || WARNING || Thread 2: No heartbeat received from server in 10 seconds.Will try 0 more attempts || __main__
2022-02-11 20:35:14,500 || INFO || Thread 2: Client sent heatbeat: b'MSG_HEARTBEAT' || __main__
2022-02-11 20:35:24,502 || ERROR || Thread 2: No replies from server after 0 attempts. Terminating connection || __main__
2022-02-11 20:37:42,279 || INFO || Thread 1: Client successfully connected to Server at 127.0.0.1:12345 || __main__
2022-02-11 20:37:42,294 || INFO || Thread 1: Client sent data: b'CLIENT_DATA_MESSAGE' || __main__
2022-02-11 20:38:02,296 || ERROR || Thread 1: Did not receive a reply from server in 20 seconds. Initating Heartbeat || __main__
2022-02-11 20:38:07,312 || INFO || Thread 2: Client sent heatbeat: b'MSG_HEARTBEAT' || __main__
2022-02-11 20:38:17,313 || WARNING || Thread 2: No heartbeat received from server in 10 seconds. Will try 3 more attempt(s) || __main__
2022-02-11 20:38:17,313 || INFO || Thread 2: Client sent heatbeat: b'MSG_HEARTBEAT' || __main__
