2022-02-20 08:24:46,448 || INFO || Thread 1: Client sent data: b'CLIENT_DATA_MESSAGE' || __main__
2022-02-20 08:24:46,448 || INFO || Thread 1: Successful Tx/Rx. Client sent: 'b'CLIENT_DATA_MESSAGE'' Server replied: 'SERVER_DATA_REPLY' || __main__
2022-02-20 08:24:56,467 || INFO || Thread 1: Client sent data: b'CLIENT_DATA_MESSAGE' || __main__
2022-02-20 08:24:56,467 || INFO || Thread 1: Successful Tx/Rx. Client sent: 'b'CLIENT_DATA_MESSAGE'' Server replied: 'SERVER_DATA_REPLY' || __main__
2022-02-20 08:25:06,474 || INFO || Thread 1: Client sent data: b'CLIENT_DATA_MESSAGE' || __main__
2022-02-20 08:25:06,474 || INFO || Thread 1: Successful Tx/Rx. Client sent: 'b'CLIENT_DATA_MESSAGE'' Server replied: 'SERVER_DATA_REPLY' || __main__
2022-02-20 08:25:16,481 || INFO || Thread 1: Client sent data: b'CLIENT_DATA_MESSAGE' || __main__
2022-02-20 08:25:16,481 || INFO || Thread 1: Successful Tx/Rx. Client sent: 'b'CLIENT_DATA_MESSAGE'' Server replied: 'SERVER_DATA_REPLY' || __main__
2022-02-20 08:25:26,483 || INFO || Thread 1: Client sent data: b'CLIENT_DATA_MESSAGE' || __main__
2022-02-20 08:25:26,483 || INFO || Thread 1: Successful Tx/Rx. Client sent: 'b'CLIENT_DATA_MESSAGE'' Server replied: 'SERVER_DATA_REPLY' || __main__
2022-02-20 08:25:36,490 || INFO || Thread 1: Client sent data: b'CLIENT_DATA_MESSAGE' || __main__
2022-02-20 08:25:36,490 || INFO || Thread 1: Successful Tx/Rx. Client sent: 'b'CLIENT_DATA_MESSAGE'' Server replied: 'SERVER_DATA_REPLY' || __main__
2022-02-20 08:25:46,497 || INFO || Thread 1: Client sent data: b'CLIENT_DATA_MESSAGE' || __main__
2022-02-20 08:25:46,497 || INFO || Thread 1: Successful Tx/Rx. Client sent: 'b'CLIENT_DATA_MESSAGE'' Server replied: 'SERVER_DATA_REPLY' || __main__
2022-02-20 08:25:56,504 || INFO || Thread 1: Client sent data: b'CLIENT_DATA_MESSAGE' || __main__
2022-02-20 08:25:56,504 || INFO || Thread 1: Successful Tx/Rx. Client sent: 'b'CLIENT_DATA_MESSAGE'' Server replied: 'SERVER_DATA_REPLY' || __main__
2022-02-20 08:26:06,507 || INFO || Thread 1: Client sent data: b'CLIENT_DATA_MESSAGE' || __main__
2022-02-20 08:26:06,507 || INFO || Thread 1: Successful Tx/Rx. Client sent: 'b'CLIENT_DATA_MESSAGE'' Server replied: 'SERVER_DATA_REPLY' || __main__
2022-02-20 08:26:16,511 || INFO || Thread 1: Client sent data: b'CLIENT_DATA_MESSAGE' || __main__
2022-02-20 08:26:16,511 || INFO || Thread 1: Successful Tx/Rx. Client sent: 'b'CLIENT_DATA_MESSAGE'' Server replied: 'SERVER_DATA_REPLY' || __main__
2022-02-20 08:34:49,473 || INFO || Thread 1: Client successfully connected to Server at 127.0.0.1:12345 || __main__
2022-02-20 08:34:49,473 || INFO || Thread 1: Client sent data: b'CLIENT_DATA_MESSAGE' || __main__
2022-02-20 08:35:32,436 || INFO || Thread 1: Client successfully connected to Server at 127.0.0.1:12345 || __main__
2022-02-20 08:35:32,436 || INFO || Thread 1: Client sent data: b'CLIENT_DATA_MESSAGE' || __main__
2022-02-20 08:35:52,449 || ERROR || Thread 1: Did not receive a reply from server in 20 seconds. Initating Heartbeat || __main__
2022-02-20 08:35:52,449 || INFO || Thread 2: Client sent heartbeat: b'MSG_HEARTBEAT' || __main__
2022-02-20 08:35:53,452 || INFO || Thread 2: Successful Tx/Rx. Client sent: 'b'MSG_HEARTBEAT'' Server replied: 'MSG_HEARTBEAT' || __main__
2022-02-20 08:35:58,454 || INFO || Thread 2: Client sent heartbeat: b'MSG_HEARTBEAT' || __main__
2022-02-20 08:35:58,454 || INFO || Thread 2: Successful Tx/Rx. Client sent: 'b'MSG_HEARTBEAT'' Server replied: 'MSG_HEARTBEAT' || __main__
2022-02-20 08:36:03,460 || INFO || Thread 2: Client sent heartbeat: b'MSG_HEARTBEAT' || __main__
2022-02-20 08:36:03,460 || INFO || Thread 2: Successful Tx/Rx. Client sent: 'b'MSG_HEARTBEAT'' Server replied: 'MSG_HEARTBEAT' || __main__
2022-02-20 08:36:08,466 || INFO || Thread 2: Client sent heartbeat: b'MSG_HEARTBEAT' || __main__
2022-02-20 08:36:08,466 || INFO || Thread 2: Successful Tx/Rx. Client sent: 'b'MSG_HEARTBEAT'' Server replied: 'MSG_HEARTBEAT' || __main__
